Genre,Name,Platform,Publisher,Rank,Year,% Europe,% Japan,% North America,% Other,Europe Sales,Global Sales,Japan Sales,North America Sales,Number of Video Games,Other Sales
Action,"Rengoku II:  The Stairway To H,E,A,V,E,N,",PSP,Konami Digital Entertainment,14970,2006,0%,0%,100%,0%,0,0.02,0,0.02,1,0
Action,Bounty Hounds,PSP,Namco Bandai Games,14123,2006,0%,0%,100%,0%,0,0.03,0,0.03,1,0
Action,"Dynasty Warriors Vol, 2",PSP,Tecmo Koei,13254,2006,0%,0%,80%,0%,0,0.05,0,0.04,1,0
Action,Xiaolin Showdown,PSP,Konami Digital Entertainment,12539,2006,0%,0%,83%,0%,0,0.06,0,0.05,1,0
Action,"Rengoku II: The Stairway to H,E,A,V,E,N, (jp sales)",PSP,Konami Digital Entertainment,16026,2006,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,"Dynasty Warriors Vol, 2 (JP sales)",PSP,Tecmo Koei,13900,2006,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Gundam Battle Royale,PSP,Namco Bandai Games,9698,2006,0%,100%,0%,0%,0,0.12,0.12,0,1,0
Action,Warhammer: Battle For Atluma,PSP,Namco Bandai Games,12381,2006,0%,0%,83%,17%,0,0.06,0,0.05,1,0.01
Action,Viewtiful Joe: Red Hot Rumble,PSP,Capcom,11145,2006,0%,0%,89%,11%,0,0.09,0,0.08,1,0.01
Action,Power Stone Collection,PSP,Capcom,10736,2006,0%,0%,80%,10%,0,0.1,0,0.08,1,0.01
Action,Def Jam Fight For NY: The Takeover,PSP,Electronic Arts,10950,2006,0%,0%,89%,11%,0,0.09,0,0.08,1,0.01
Action,50 Cent: Bulletproof,PSP,Vivendi Games,11195,2006,0%,0%,89%,11%,0,0.09,0,0.08,1,0.01
Action,EA Replay,PSP,Electronic Arts,10208,2006,0%,0%,82%,9%,0,0.11,0,0.09,1,0.01
Action,Eragon,PSP,Vivendi Games,10169,2006,0%,0%,91%,9%,0,0.11,0,0.1,1,0.01
Action,Gun Showdown,PSP,Activision,12526,2006,17%,0%,83%,17%,0.01,0.06,0,0.05,1,0.01
Action,Mercury Meltdown,PSP,Atari,12585,2006,17%,0%,83%,17%,0.01,0.06,0,0.05,1,0.01
Action,From Russia With Love,PSP,Electronic Arts,11311,2006,13%,0%,88%,13%,0.01,0.08,0,0.07,1,0.01
Action,Mind Quiz,PSP,Ubisoft,10801,2006,10%,0%,80%,10%,0.01,0.1,0,0.08,1,0.01
Action,The Godfather: Mob Wars,PSP,Electronic Arts,10294,2006,9%,0%,82%,9%,0.01,0.11,0,0.09,1,0.01
Action,Star Wars: Lethal Alliance,PSP,Ubisoft,9425,2006,8%,0%,85%,8%,0.01,0.13,0,0.11,1,0.01
Action,Family Guy,PSP,Take-Two Interactive,7717,2006,0%,0%,90%,10%,0,0.2,0,0.18,1,0.02
Action,Metal Gear Solid: Portable Ops,PSP,Konami Digital Entertainment,1687,2006,29%,32%,32%,8%,0.35,1.19,0.38,0.38,1,0.09
Action,Tomb Raider: Legend,PSP,Eidos Interactive,4284,2006,52%,0%,20%,26%,0.24,0.46,0,0.09,1,0.12
Action,SpongeBob SquarePants: The Yellow Avenger,PSP,THQ,2254,2006,23%,0%,60%,17%,0.21,0.92,0,0.55,1,0.16
Action,LEGO Star Wars II: The Original Trilogy,PSP,LucasArts,1368,2006,36%,0%,41%,23%,0.51,1.41,0,0.58,1,0.32
Action,Heatseeker,PSP,Codemasters,13505,2007,0%,0%,100%,0%,0,0.04,0,0.04,1,0
Action,Pocket Pool,PSP,Conspiracy Entertainment,13629,2007,0%,0%,100%,0%,0,0.04,0,0.04,1,0
Action,Dead Head Fred,PSP,D3Publisher,13520,2007,0%,0%,100%,0%,0,0.04,0,0.04,1,0
Action,Taito Legends Power Up,PSP,Destineer,12969,2007,0%,0%,100%,0%,0,0.05,0,0.05,1,0
Action,Gundam Battle Chronicle,PSP,Namco Bandai Games,7155,2007,0%,100%,0%,0%,0,0.22,0.22,0,1,0
Action,Beowulf: The Game,PSP,Ubisoft,11062,2007,0%,0%,89%,11%,0,0.09,0,0.08,1,0.01
Action,Hot Wheels Ultimate Racing,PSP,Activision,10543,2007,0%,0%,90%,10%,0,0.1,0,0.09,1,0.01
Action,Spider-Man: Friend or Foe,PSP,Activision,8092,2007,0%,0%,89%,6%,0,0.18,0,0.16,1,0.01
Action,TMNT,PSP,Ubisoft,9962,2007,8%,0%,83%,8%,0.01,0.12,0,0.1,1,0.01
Action,Ghost Rider,PSP,Take-Two Interactive,6883,2007,0%,0%,92%,8%,0,0.24,0,0.22,1,0.02
Action,Prince of Persia: Rival Swords,PSP,Ubisoft,9837,2007,17%,0%,67%,17%,0.02,0.12,0,0.08,1,0.02
Action,The Warriors,PSP,Take-Two Interactive,6217,2007,7%,0%,82%,11%,0.02,0.28,0,0.23,1,0.03
Action,Pursuit Force: Extreme Justice,PSP,Sony Computer Entertainment,8314,2007,41%,0%,41%,18%,0.07,0.17,0,0.07,1,0.03
Action,Jackass the Game,PSP,Empire Interactive,7211,2007,36%,0%,41%,23%,0.08,0.22,0,0.09,1,0.05
Action,300: March to Glory,PSP,"Warner Bros, Interactive Entertainment",4712,2007,20%,0%,66%,15%,0.08,0.41,0,0.27,1,0.06
Action,Aliens vs Predator: Requiem,PSP,Vivendi Games,7203,2007,55%,0%,14%,32%,0.12,0.22,0,0.03,1,0.07
Action,Shrek the Third,PSP,Activision,5686,2007,47%,0%,25%,28%,0.15,0.32,0,0.08,1,0.09
Action,Harry Potter and the Order of the Phoenix,PSP,Electronic Arts,5133,2007,46%,0%,27%,27%,0.17,0.37,0,0.1,1,0.1
Action,Pirates of the Caribbean: At World's End,PSP,Disney Interactive Studios,4566,2007,40%,0%,35%,23%,0.17,0.43,0,0.15,1,0.1
Action,Manhunt 2,PSP,Take-Two Interactive,5664,2007,56%,0%,13%,31%,0.18,0.32,0,0.04,1,0.1
Action,Silent Hill: Origins,PSP,Konami Digital Entertainment,3819,2007,30%,8%,42%,19%,0.16,0.53,0.04,0.22,1,0.1
Action,Tomb Raider: Anniversary,PSP,Eidos Interactive,3524,2007,40%,0%,37%,23%,0.23,0.57,0,0.21,1,0.13
Action,Crash of the Titans,PSP,Vivendi Games,3140,2007,39%,0%,39%,23%,0.25,0.64,0,0.25,1,0.15
Action,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,Activision,3091,2007,41%,0%,35%,24%,0.27,0.66,0,0.23,1,0.16
Action,Ratatouille,PSP,THQ,3031,2007,42%,0%,33%,24%,0.28,0.67,0,0.22,1,0.16
Action,Metal Gear Solid: Portable Ops Plus,PSP,Konami Digital Entertainment,2946,2007,1%,38%,38%,25%,0.01,0.69,0.26,0.26,1,0.17
Action,Ben 10: Protector of Earth,PSP,D3Publisher,2847,2007,43%,0%,32%,25%,0.31,0.72,0,0.23,1,0.18
Action,The Simpsons Game,PSP,Electronic Arts,1874,2007,50%,0%,22%,28%,0.55,1.09,0,0.24,1,0.31
Action,Downstream Panic!,PSP,Atari,14507,2008,0%,0%,100%,0%,0,0.03,0,0.03,1,0
Action,Code Lyoko: Quest for Infinity,PSP,Game Factory,14420,2008,0%,0%,100%,0%,0,0.03,0,0.03,1,0
Action,Hellboy: The Science of Evil,PSP,Konami Digital Entertainment,13663,2008,0%,0%,100%,0%,0,0.04,0,0.04,1,0
Action,Samurai Dou Portable,PSP,Spike,12848,2008,0%,100%,0%,0%,0,0.05,0.05,0,1,0
Action,Warriors Orochi,PSP,Tecmo Koei,7588,2008,0%,90%,10%,0%,0,0.2,0.18,0.02,1,0
Action,Hammerin' Hero,PSP,Irem Software Engineering,12136,2008,0%,0%,86%,14%,0,0.07,0,0.06,1,0.01
Action,Kenka Bancho: Badass Rumble,PSP,Spike,6263,2008,0%,74%,22%,4%,0,0.27,0.2,0.06,1,0.01
Action,Warriors Orochi 2,PSP,Tecmo Koei,6095,2008,0%,76%,21%,3%,0,0.29,0.22,0.06,1,0.01
Action,Spider-Man: Web of Shadows - Amazing Allies Edition,PSP,Activision,8481,2008,13%,0%,75%,13%,0.02,0.16,0,0.12,1,0.02
Action,Iron Man,PSP,Sega,3202,2008,14%,0%,73%,14%,0.09,0.63,0,0.46,1,0.09
Action,Ben 10: Alien Force,PSP,Koch Media,3431,2008,24%,0%,59%,17%,0.14,0.59,0,0.35,1,0.1
Action,Star Wars: The Force Unleashed,PSP,LucasArts,1872,2008,38%,0%,39%,23%,0.41,1.09,0,0.43,1,0.25
Action,LEGO Indiana Jones: The Original Adventures,PSP,LucasArts,1709,2008,42%,0%,34%,25%,0.49,1.18,0,0.4,1,0.29
Action,Fuun Shinsengumi Bakumatsuden Portable,PSP,From Software,16315,2009,0%,0%,100%,0%,0,0.01,0,0.01,1,0
Action,Astro Boy: The Video Game,PSP,D3Publisher,13799,2009,0%,0%,100%,0%,0,0.04,0,0.04,1,0
Action,SpongeBob's Truth or Square (US sales),PSP,THQ,4905,2009,0%,0%,100%,0%,0,0.39,0,0.39,1,0
Action,The Amazing Spider-Man (DS & Mobile Versions),PSP,Eidos Interactive,16359,2009,100%,0%,0%,0%,0.01,0.01,0,0,1,0
Action,Tenchu San Portable,PSP,From Software,16405,2009,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Kenka Banchou Portable,PSP,Spike,16353,2009,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,"Simple 2500 Series Portable!! Vol, 12: The Hohei 2: Senyuu yo, Sakini Ike",PSP,D3Publisher,15183,2009,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Soul Eater: Battle Resonance,PSP,Namco Bandai Games,14898,2009,0%,100%,0%,0%,0,0.03,0.03,0,1,0
Action,Ookami Kakushi,PSP,Konami Digital Entertainment,13736,2009,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Way of the Samurai 2 Portable,PSP,Spike,13659,2009,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Shin Sangoku Musou 5 Special,PSP,Tecmo Koei,12984,2009,0%,100%,0%,0%,0,0.05,0.05,0,1,0
Action,Evangelion: Jo,PSP,Namco Bandai Games,12720,2009,0%,100%,0%,0%,0,0.06,0.06,0,1,0
Action,Zettai Zetsumei Toshi 3: Kowareyuku Machi to Kanojyo no Uta,PSP,Irem Software Engineering,11994,2009,0%,100%,0%,0%,0,0.07,0.07,0,1,0
Action,Macross Ultimate Frontier,PSP,Namco Bandai Games,8311,2009,0%,100%,0%,0%,0,0.17,0.17,0,1,0
Action,Sengoku Basara: Battle Heroes,PSP,Capcom,6523,2009,0%,100%,0%,0%,0,0.26,0.26,0,1,0
Action,The Secret Saturdays: Beasts of the 5th Sun,PSP,D3Publisher,10975,2009,0%,0%,89%,11%,0,0.09,0,0.08,1,0.01
Action,SpongeBob's Truth or Square,PSP,THQ,11904,2009,57%,0%,29%,14%,0.04,0.07,0,0.02,1,0.01
Action,Tenchu: Shadow Assassins,PSP,Ubisoft,9778,2009,25%,42%,25%,8%,0.03,0.12,0.05,0.03,1,0.01
Action,Undead Knights,PSP,Ubisoft Annecy,9728,2009,8%,50%,42%,8%,0.01,0.12,0.06,0.05,1,0.01
Action,Ghostbusters: The Video Game,PSP,Atari,8038,2009,6%,0%,89%,11%,0.01,0.18,0,0.16,1,0.02
Action,"G,I, Joe: The Rise of Cobra",PSP,Electronic Arts,9036,2009,14%,0%,79%,14%,0.02,0.14,0,0.11,1,0.02
Action,Obscure: The Aftermath,PSP,Playlogic Game Factory,11020,2009,33%,0%,56%,22%,0.03,0.09,0,0.05,1,0.02
Action,Dynasty Warriors: Strikeforce,PSP,Ubisoft Annecy,4312,2009,7%,84%,7%,4%,0.03,0.45,0.38,0.03,1,0.02
Action,X-Men Origins: Wolverine,PSP,Activision,7783,2009,16%,0%,68%,16%,0.03,0.19,0,0.13,1,0.03
Action,G-Force,PSP,Electronic Arts,5258,2009,19%,0%,67%,14%,0.07,0.36,0,0.24,1,0.05
Action,Indiana Jones and the Staff of Kings,PSP,Activision,6534,2009,38%,0%,42%,23%,0.1,0.26,0,0.11,1,0.06
Action,Up,PSP,THQ,4721,2009,24%,0%,59%,17%,0.1,0.41,0,0.24,1,0.07
Action,Star Wars The Clone Wars: Republic Heroes,PSP,LucasArts,4657,2009,31%,0%,50%,19%,0.13,0.42,0,0.21,1,0.08
Action,Ben 10 Alien Force: Vilgax Attacks,PSP,D3Publisher,4573,2009,45%,0%,31%,26%,0.19,0.42,0,0.13,1,0.11
Action,Harry Potter and the Half-Blood Prince,PSP,Electronic Arts,3928,2009,41%,0%,35%,24%,0.21,0.51,0,0.18,1,0.12
Action,LEGO Indiana Jones 2: The Adventure Continues,PSP,Activision,3404,2009,41%,0%,36%,24%,0.24,0.59,0,0.21,1,0.14
Action,Avatar: The Game,PSP,Ubisoft,3357,2009,40%,0%,37%,23%,0.24,0.6,0,0.22,1,0.14
Action,Grand Theft Auto: Chinatown Wars,PSP,Take-Two Interactive,1904,2009,46%,3%,26%,26%,0.5,1.08,0.03,0.28,1,0.28
Action,Assassin's Creed: Bloodlines,PSP,Ubisoft,1605,2009,39%,4%,35%,23%,0.48,1.24,0.05,0.43,1,0.28
Action,Kingdom: Ikkitousen no Ken,PSP,Konami Digital Entertainment,15087,2010,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,Takara Tomy,15581,2010,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Shin Sangoku Musou 5 Empires,PSP,Tecmo Koei,12872,2010,0%,100%,0%,0%,0,0.05,0.05,0,1,0
Action,Ikki Tousen: Xross Impact,PSP,Marvelous Interactive,12288,2010,0%,100%,0%,0%,0,0.06,0.06,0,1,0
Action,Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,Namco Bandai Games,12477,2010,0%,100%,0%,0%,0,0.06,0.06,0,1,0
Action,Busou Shinki: Battle Masters,PSP,Konami Digital Entertainment,11835,2010,0%,100%,0%,0%,0,0.07,0.07,0,1,0
Action,Shin Sangoku Musou: Multi Raid 2,PSP,Tecmo Koei,10054,2010,0%,100%,0%,0%,0,0.11,0.11,0,1,0
Action,Gundam Assault Survive,PSP,Namco Bandai Games,8348,2010,0%,100%,0%,0%,0,0.17,0.17,0,1,0
Action,Kenka Banchou 4: Ichinen Sensou,PSP,Spike,7878,2010,0%,100%,0%,0%,0,0.19,0.19,0,1,0
Action,Gods Eater Burst,PSP,Namco Bandai Games,3086,2010,0%,94%,5%,0%,0,0.66,0.62,0.03,1,0
Action,God Eater,PSP,Unknown,2831,2010,0%,100%,0%,0%,0,0.72,0.72,0,1,0
Action,Gladiator Begins,PSP,PQube,9716,2010,8%,42%,42%,8%,0.01,0.12,0.05,0.05,1,0.01
Action,The Lord of the Rings: Aragorn's Quest,PSP,"Warner Bros, Interactive Entertainment",9944,2010,17%,0%,58%,17%,0.02,0.12,0,0.07,1,0.02
Action,Fat Princess: Fistful of Cake,PSP,Sony Computer Entertainment,9815,2010,17%,0%,67%,17%,0.02,0.12,0,0.08,1,0.02
Action,TRON: Evolution,PSP,Disney Interactive Studios,9491,2010,15%,0%,69%,15%,0.02,0.13,0,0.09,1,0.02
Action,Naruto Shippuden: Kizuna Drive,PSP,Namco Bandai Games,9458,2010,15%,38%,31%,15%,0.02,0.13,0.05,0.04,1,0.02
Action,NBA 2K11,PSP,Take-Two Interactive,4658,2010,0%,0%,93%,7%,0,0.42,0,0.39,1,0.03
Action,Bakugan Battle Brawlers: Defenders of the Core,PSP,Activision,8855,2010,27%,0%,60%,20%,0.04,0.15,0,0.09,1,0.03
Action,Dante's Inferno,PSP,Electronic Arts,7793,2010,16%,5%,63%,16%,0.03,0.19,0.01,0.12,1,0.03
Action,Iron Man 2,PSP,Sega,5042,2010,32%,0%,47%,18%,0.12,0.38,0,0.18,1,0.07
Action,Silent Hill: Shattered Memories,PSP,Konami Digital Entertainment,5812,2010,42%,3%,29%,26%,0.13,0.31,0.01,0.09,1,0.08
Action,Prince of Persia: The Forgotten Sands,PSP,Ubisoft,5113,2010,49%,3%,24%,27%,0.18,0.37,0.01,0.09,1,0.1
Action,Toy Story 3: The Video Game,PSP,Disney Interactive Studios,3078,2010,38%,0%,41%,21%,0.25,0.66,0,0.27,1,0.14
Action,LEGO Harry Potter: Years 1-4,PSP,"Warner Bros, Interactive Entertainment",2888,2010,52%,0%,20%,27%,0.37,0.71,0,0.14,1,0.19
Action,God of War: Ghost of Sparta,PSP,Sony Computer Entertainment,2045,2010,36%,3%,41%,21%,0.36,1.01,0.03,0.41,1,0.21
Action,Onechanbara Special,PSP,D3Publisher,15358,2011,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Bunmei Haruka: Aoiza Ibunroku,PSP,FuRyu,14979,2011,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Nano Diver,PSP,Takara Tomy,15734,2011,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,GachiTora! Abarenbou Kyoushi in High School,PSP,Spike,12877,2011,0%,100%,0%,0%,0,0.05,0.05,0,1,0
Action,"Busou Shinki: Battle Masters Mk, 2",PSP,Konami Digital Entertainment,10412,2011,0%,100%,0%,0%,0,0.11,0.11,0,1,0
Action,Shin Sangoku Musou 6 Special,PSP,Tecmo Koei,10205,2011,0%,100%,0%,0%,0,0.11,0.11,0,1,0
Action,Gundam Memories: Tatakai no Kioku,PSP,Namco Bandai Games,9762,2011,0%,100%,0%,0%,0,0.12,0.12,0,1,0
Action,Macross Triangle Frontier,PSP,Namco Bandai Games,9810,2011,0%,100%,0%,0%,0,0.12,0.12,0,1,0
Action,Earth Defense Force 2: Invaders from Planet Space,PSP,D3Publisher,9172,2011,0%,100%,0%,0%,0,0.14,0.14,0,1,0
Action,Kenka Banchou 5: Otoko no Housoku,PSP,Spike,9050,2011,0%,100%,0%,0%,0,0.14,0.14,0,1,0
Action,Sengoku Basara: Chronicle Heroes,PSP,Capcom,8579,2011,0%,100%,0%,0%,0,0.16,0.16,0,1,0
Action,Danball Senki Boost,PSP,Level 5,7157,2011,0%,100%,0%,0%,0,0.22,0.22,0,1,0
Action,Invizimals: The Lost Tribes,PSP,Sony Computer Entertainment,10109,2011,73%,0%,0%,36%,0.08,0.11,0,0,1,0.04
Action,Pro Evolution Soccer 2012,PSP,Konami Digital Entertainment,3537,2011,21%,51%,18%,12%,0.12,0.57,0.29,0.1,1,0.07
Action,LEGO Pirates of the Caribbean: The Video Game,PSP,Disney Interactive Studios,5355,2011,44%,0%,32%,24%,0.15,0.34,0,0.11,1,0.08
Action,LEGO Star Wars III: The Clone Wars,PSP,LucasArts,4901,2011,44%,0%,36%,23%,0.17,0.39,0,0.14,1,0.09
Action,Unending Bloody Call,PSP,Asgard,16498,2012,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,"Koi Sentai Love & Peace the P,S,P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!",PSP,Broccoli,16488,2012,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Bunmei Kaika: Aoiza Ibunroku Saien,PSP,FuRyu,16217,2012,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Miyako: Awayuki no Utage,PSP,Idea Factory,16099,2012,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Tsuyo Kiss 3 Portable,PSP,NetRevo,16303,2012,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Abunai: Koi no Sousa Shitsu,PSP,Quinrose,16052,2012,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Hyakki Yagyou Kaidan Romance,PSP,Quinrose,16549,2012,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,5pb,14955,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Arcana Famiglia: Vascello Phantasma no Majutsushi,PSP,Comfort,15400,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Seinaru Kana: Orichalcum no Na no Motoni,PSP,CyberFront,15646,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Custom Drive,PSP,D3Publisher,15813,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Storm Lover Kai!!,PSP,D3Publisher,15929,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Ore wa Shoujo Mangaka,PSP,Giza10,15825,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Elkrone no Atelier: Dear for Otomate,PSP,Idea Factory,15735,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Genroh,PSP,Idea Factory,15219,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Kimikare: New Semester,PSP,Idea Factory,15637,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,"L,G,S: Shinsetsu Houshinengi",PSP,Idea Factory,15757,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Soukoku no Kusabi: Hiiro no Kakera 3 - Ashita e no Tobira,PSP,Idea Factory,15515,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Kokoro Connect: Yochi Random,PSP,Namco Bandai Games,15434,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Dies Irae: Amantes Amentes,PSP,Views,15238,2012,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Brothers Conflict: Passion Pink,PSP,Idea Factory,14773,2012,0%,100%,0%,0%,0,0.03,0.03,0,1,0
Action,Jyuzaengi: Engetsu Sangokuden,PSP,Idea Factory,14444,2012,0%,100%,0%,0%,0,0.03,0.03,0,1,0
Action,"Even in a Game Listen to Me Girls, I Am Your Father!",PSP,Namco Bandai Games,14128,2012,0%,100%,0%,0%,0,0.03,0.03,0,1,0
Action,Tiger & Bunny: On-Air Jack!,PSP,Namco Bandai Games,14749,2012,0%,100%,0%,0%,0,0.03,0.03,0,1,0
Action,Oumagatoki: Kaidan Romance,PSP,Quinrose,14570,2012,0%,100%,0%,0%,0,0.03,0.03,0,1,0
Action,Sengoku Musou 3 Z Special,PSP,Ackkstudios,13748,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Ailu de Puzzle,PSP,Capcom,14029,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Hanaoni: Yume no Tsudzuki,PSP,Idea Factory,13727,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Toki no Kizuna: Sekigahara Kitan,PSP,Idea Factory,13976,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Ao no Exorcist: Genkoku no Labyrinth,PSP,Namco Bandai Games,13924,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Detective Conan: Prelude from the Past,PSP,Namco Bandai Games,14098,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Great Battle Full Blast,PSP,Namco Bandai Games,13647,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Hunter x Hunter: Wonder Adventure,PSP,Namco Bandai Games,13922,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Mobile Suit Gundam: Mokuba no Kiseki,PSP,Namco Bandai Games,13862,2012,0%,100%,0%,0%,0,0.04,0.04,0,1,0
Action,Hakuouki: Bakumatsu Musou Roku,PSP,Idea Factory,13398,2012,0%,100%,0%,0%,0,0.05,0.05,0,1,0
Action,Bakemonogatari Portable,PSP,Namco Bandai Games,13075,2012,0%,100%,0%,0%,0,0.05,0.05,0,1,0
Action,Hakuouki: Yuugi Roku Ni - Matsuri Hayashi to Taishitachi,PSP,Idea Factory,12744,2012,0%,100%,0%,0%,0,0.06,0.06,0,1,0
Action,All Kamen Rider: Rider Generation 2,PSP,Namco Bandai Games,12636,2012,0%,100%,0%,0%,0,0.06,0.06,0,1,0
Action,Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,PSP,Namco Bandai Games,12495,2012,0%,100%,0%,0%,0,0.06,0.06,0,1,0
Action,Fairy Tail: Zelef Kakusei,PSP,Unknown,12061,2012,0%,100%,0%,0%,0,0.07,0.07,0,1,0
Action,Kenka Bancho Bros: Tokyo Battle Royale,PSP,Spike,10433,2012,0%,100%,0%,0%,0,0.1,0.1,0,1,0
Action,Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,PSP,Namco Bandai Games,10407,2012,0%,100%,0%,0%,0,0.11,0.11,0,1,0
Action,My Little Sister Can't Be This Cute Portable,PSP,Namco Bandai Games,10276,2012,0%,100%,0%,0%,0,0.11,0.11,0,1,0
Action,Warriors Orochi 3,PSP,Ubisoft Annecy,10390,2012,0%,100%,0%,0%,0,0.11,0.11,0,1,0
Action,Nayuta no Kiseki,PSP,Nihon Falcom Corporation,9328,2012,0%,100%,0%,0%,0,0.14,0.14,0,1,0
Action,Jikkyou Powerful Pro Yakyuu 2012,PSP,Konami Digital Entertainment,8810,2012,0%,100%,0%,0%,0,0.15,0.15,0,1,0
Action,The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,Namco Bandai Games,8269,2012,0%,100%,0%,0%,0,0.17,0.17,0,1,0
Action,Kurohyou 2: Ryu ga Gotoku Ashura Hen,PSP,Sega,7580,2012,0%,100%,0%,0%,0,0.2,0.2,0,1,0
Action,Digimon World Re:Digitize,PSP,Namco Bandai Games,7309,2012,0%,100%,0%,0%,0,0.22,0.22,0,1,0
Action,FIFA Soccer 13,PSP,Electronic Arts,5131,2012,51%,5%,14%,27%,0.19,0.37,0.02,0.05,1,0.1
Action,Tiger & Bunny: Hero's Day,PSP,D3Publisher,15946,2013,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Gintama no Sugoroku,PSP,Namco Bandai Games,12758,2013,0%,100%,0%,0%,0,0.06,0.06,0,1,0
Action,Uta no * Prince-Sama: All Star,PSP,Broccoli,9887,2013,0%,100%,0%,0%,0,0.12,0.12,0,1,0
Action,Fate/Extra CCC,PSP,Marvelous Entertainment,9841,2013,0%,100%,0%,0%,0,0.12,0.12,0,1,0
Action,Pro Evolution Soccer 2014,PSP,Konami Digital Entertainment,8319,2013,18%,82%,0%,0%,0.03,0.17,0.14,0,1,0
Action,Toukiden: The Age of Demons,PSP,Tecmo Koei,8148,2013,0%,100%,0%,0%,0,0.18,0.18,0,1,0
Action,Bakumatsu Rock,PSP,Marvelous Entertainment,16219,2014,0%,100%,0%,0%,0,0.01,0.01,0,1,0
Action,Juusanshi Engi Engetsu Sangokuden 2,PSP,Idea Factory,14951,2014,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Toukiden Kiwami,PSP,Tecmo Koei,13428,2014,0%,100%,0%,0%,0,0.05,0.05,0,1,0
Action,Meiji Toukyou Renka: Twilight Kiss,PSP,Broccoli,15981,2015,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Harukanaru Toki no Naka de 6,PSP,Tecmo Koei,15933,2015,0%,100%,0%,0%,0,0.02,0.02,0,1,0
Action,Uta no Prince-Sama: All Star After Secret,PSP,Broccoli,11475,2015,0%,100%,0%,0%,0,0.08,0.08,0,1,0
Action,Army Corps of Hell,PSV,Square Enix,10456,2011,40%,0%,50%,20%,0.04,0.1,0,0.05,1,0.02
Action,Shinobido 2: Tales of the Ninja,PSV,Sony Computer Entertainment,8614,2011,31%,13%,38%,19%,0.05,0.16,0.02,0.06,1,0.03
Action,Dynasty Warriors Next,PSV,Tecmo Koei,6424,2011,26%,41%,22%,11%,0.07,0.27,0.11,0.06,1,0.03
Action,Asphalt: Injection,PSV,Ubisoft,6988,2011,26%,0%,61%,17%,0.06,0.23,0,0.14,1,0.04
